Longitude,Latitude
116.69,39.85
116.41,39.89
116.65,39.93
116.76,39.91
116.57,39.85
116.79,39.77
116.77,39.82
116.38,39.92
116.4,39.91
116.33,39.4
116.46,40.13
116.37,39.97
115.99,39.63
116.72,40.13
116.68,39.97
116.4,39.93
116.71,39.72
116.69,39.86
116.29,39.86
116.5,39.97
116.35,40
116.65,40.17
116.9,40.12
116.35,39.93
116.76,40.1
116.65,40.1
116.44,39.93
116.55,40.06
116.47,39.96
116.27,39.95
116.74,39.86
116.7,39.9
116.5,40
116.66,39.9
116.39,39.86
116.5,40
116.46,40
116.32,39.98
116.41,40
116.45,40
116.27,39.9
116.28,39.9
116.35,39.97
116.38,39.86
116.7,40.21
116.49,39.91
116.47,39.99
116.66,40.11
116.22,39.89
116.58,40.06
116.46,40
116.64,40.14
116.45,39.96
116.44,39.84
116.66,40.12
116.35,39.96
116.63,40.19
116.43,40.07
116.49,40.01
116.5,40.01
116.51,40.1
116.4,40.17
116.55,40.07
116.5,40.01
116.68,40.12
116.36,39.97
116.43,39.96
116.27,40
116.41,40.12
116.6,40.17
116.55,39.91
116.41,40.01
116.5,40.09
116.45,40
116.42,40.04
116.48,39.98
116.42,39.95
116.38,39.99
116.3,39.9
116.45,39.89
116.34,39.92
116.46,40.06
116.46,39.93
116.55,40.07
116.36,39.89
116.37,39.87
116.58,40.07
116.41,39.94
116.41,40.06
116.51,40.01
116.35,39.84
116.66,40.13
116.52,40
116.59,40.08
116.41,39.92
116.44,39.96
116.43,39.97
116.51,39.93
116.46,39.95
116.36,39.95
